Action, games, score, coin, xp, level, staples, commons, specials
Bought staple, 6, 5040, 29, 1540, 5, 1, 0, 0
Bought staple, 19, 6960, 5, 5550, 8, 2, 0, 0
Bought staple, 30, 8400, 124, 9740, 11, 3, 0, 0
Bought staple, 45, 8880, 37, 16120, 12, 4, 0, 0
Bought staple, 60, 9360, 113, 22880, 13, 5, 0, 0
Bought staple, 73, 9840, 166, 29160, 15, 6, 0, 0
Bought special, 110, 11760, 288, 49380, 19, 6, 0, 1
Bought staple, 120, 12720, 177, 55520, 20, 7, 0, 1
Bought common, 157, 12720, 33, 78830, 21, 7, 1, 1
Bought staple, 168, 12720, 1, 85760, 22, 8, 1, 1
Bought staple, 180, 12720, 7, 93320, 22, 9, 1, 1
Bought staple, 192, 12720, 38, 100880, 23, 10, 1, 1
Bought common, 230, 12720, 82, 124820, 24, 10, 2, 1
Bought special, 268, 12720, 1, 148760, 25, 10, 2, 2
Bought special, 306, 12720, 45, 172700, 26, 10, 2, 3
Bought special, 343, 12720, 26, 196010, 27, 10, 2, 4
Dupe staple, 355, 12720, 307, 203570, 28, 10, 2, 4
Bought common, 390, 12720, 162, 225620, 29, 10, 3, 4
Bought staple, 402, 12720, 43, 233180, 29, 11, 3, 4
Bought special, 440, 12720, 87, 257120, 30, 11, 3, 5
Bought common, 476, 12720, 30, 279800, 32, 11, 4, 5
Bought common, 513, 12720, 11, 303110, 33, 11, 5, 5
Bought common, 551, 12720, 55, 327050, 34, 11, 6, 5
Bought staple, 565, 12720, 62, 335870, 34, 12, 6, 5
Bought common, 602, 12720, 193, 359180, 36, 12, 7, 5
Dupe staple, 613, 12720, 261, 366110, 36, 12, 7, 5
Dupe staple, 623, 12720, 266, 372410, 36, 12, 7, 5
Bought staple, 633, 12720, 21, 378710, 36, 13, 7, 5
Bought staple, 645, 12720, 52, 386270, 37, 14, 7, 5
Dupe common, 682, 12720, 783, 409580, 38, 14, 7, 5
Bought common, 710, 12720, 72, 427220, 39, 14, 8, 5
Bought staple, 723, 12720, 16, 435410, 39, 15, 8, 5
Bought special, 761, 12720, 210, 459350, 41, 15, 8, 6
Dupe staple, 772, 12720, 278, 466280, 41, 15, 8, 6
Dupe staple, 782, 12720, 283, 472580, 41, 15, 8, 6
Bought special, 817, 12720, 13, 494630, 42, 15, 8, 7
Bought staple, 829, 12720, 44, 502190, 43, 16, 8, 7
Bought special, 866, 12720, 25, 525500, 44, 16, 8, 8
Bought special, 903, 12720, 6, 548810, 45, 16, 8, 9
Bought common, 941, 12720, 50, 572750, 46, 16, 9, 9
Dupe special, 980, 12720, 907, 597320, 47, 16, 9, 9
Bought special, 1007, 12720, 8, 614330, 48, 16, 9, 10
Bought special, 1045, 12720, 52, 638270, 49, 16, 9, 11
Bought common, 1080, 12720, 57, 660320, 51, 16, 10, 11
Dupe staple, 1093, 12720, 251, 668510, 51, 16, 10, 11
Dupe staple, 1103, 12720, 256, 674810, 51, 16, 10, 11
Bought staple, 1111, 12720, 35, 679850, 52, 17, 10, 11
Bought special, 1150, 12720, 142, 704420, 53, 17, 10, 12
Dupe special, 1188, 12720, 811, 728360, 54, 17, 10, 12
Bought special, 1215, 12720, 37, 745370, 55, 17, 10, 13
Dupe staple, 1229, 12720, 294, 754190, 55, 17, 10, 13
Bought common, 1262, 12720, 23, 774980, 56, 17, 11, 13
Bought common, 1300, 12720, 67, 798920, 57, 17, 12, 13
Bought common, 1336, 12720, 10, 821600, 59, 17, 13, 13
Dupe staple, 1350, 12720, 392, 830420, 59, 17, 13, 13
Dupe staple, 1360, 12720, 397, 836720, 59, 17, 13, 13
Bought common, 1393, 12720, 1, 857510, 60, 17, 14, 13
Bought special, 1430, 12720, 132, 880820, 62, 17, 14, 14
Dupe special, 1468, 12720, 801, 904760, 63, 17, 14, 14
Bought common, 1495, 12720, 27, 921770, 64, 17, 15, 14
Bought common, 1532, 12720, 8, 945080, 65, 17, 16, 14
Bought common, 1570, 12720, 52, 969020, 66, 17, 17, 14
Bought special, 1609, 12720, 34, 993590, 67, 17, 17, 15
Dupe staple, 1620, 12720, 377, 1000520, 68, 17, 17, 15
Bought special, 1654, 12720, 44, 1021940, 69, 17, 17, 16
Dupe staple, 1668, 12720, 301, 1030760, 69, 17, 17, 16
Bought staple, 1678, 12720, 56, 1037060, 69, 18, 17, 16
Dupe special, 1713, 12720, 811, 1059110, 71, 18, 17, 16
Dupe special, 1742, 12720, 763, 1077380, 71, 18, 17, 16
Bought special, 1770, 12720, 52, 1095020, 72, 18, 17, 17
Bought special, 1809, 12720, 184, 1119590, 74, 18, 17, 18
Dupe staple, 1820, 12720, 377, 1126520, 74, 18, 17, 18
Bought common, 1854, 12720, 44, 1147940, 75, 18, 18, 18
Dupe staple, 1868, 12720, 301, 1156760, 75, 18, 18, 18
Bought special, 1901, 12720, 30, 1177550, 76, 18, 18, 19
Dupe special, 1938, 12720, 786, 1200860, 78, 18, 18, 19
Bought special, 1967, 12720, 138, 1219130, 79, 18, 18, 20
Dupe special, 2003, 12720, 806, 1241810, 80, 18, 18, 20
Bought common, 2031, 12720, 95, 1259450, 81, 18, 19, 20
Dupe special, 2069, 12720, 764, 1283390, 82, 18, 19, 20
Bought special, 2097, 12720, 53, 1301030, 83, 18, 19, 21
Dupe staple, 2110, 12720, 372, 1309220, 83, 18, 19, 21
