Action, games, score, coin, xp, level, staples, commons, specials
Bought staple, 4, 7560, 36, 1610, 5, 1, 0, 0
Bought staple, 13, 10440, 181, 5810, 9, 2, 0, 0
Bought staple, 20, 12600, 11, 9860, 11, 3, 0, 0
Bought staple, 32, 13320, 57, 17570, 12, 4, 0, 0
Bought staple, 42, 14040, 170, 24450, 14, 5, 0, 0
Bought staple, 50, 15480, 33, 30330, 15, 6, 0, 0
Bought special, 76, 18360, 52, 52020, 19, 6, 0, 1
Bought staple, 84, 19080, 225, 59500, 21, 7, 0, 1
Bought staple, 91, 19080, 15, 66150, 21, 8, 0, 1
Bought staple, 101, 19080, 90, 75650, 21, 9, 0, 1
Bought common, 126, 19080, 15, 99400, 23, 9, 1, 1
Bought staple, 136, 19080, 90, 108900, 23, 10, 1, 1
Bought staple, 145, 19080, 70, 117450, 23, 11, 1, 1
Bought staple, 152, 19080, 10, 124100, 24, 12, 1, 1
Bought common, 180, 19080, 195, 150700, 25, 12, 2, 1
Bought staple, 189, 19080, 200, 159250, 26, 13, 2, 1
Dupe staple, 197, 19080, 335, 166850, 26, 13, 2, 1
Bought special, 220, 19080, 45, 188700, 27, 13, 2, 2
Bought special, 247, 19080, 10, 214350, 28, 13, 2, 3
Dupe staple, 255, 19080, 295, 221950, 29, 13, 2, 3
Dupe staple, 262, 19080, 335, 228600, 29, 13, 2, 3
Bought staple, 270, 19080, 220, 236200, 29, 14, 2, 3
Bought staple, 277, 19080, 35, 242850, 30, 15, 2, 3
Bought common, 303, 19080, 30, 267550, 31, 15, 3, 3
Bought special, 330, 19080, 120, 293200, 32, 15, 3, 4
Bought staple, 338, 19080, 30, 300800, 33, 16, 3, 4
Bought common, 364, 19080, 25, 325500, 34, 16, 4, 4
Dupe staple, 373, 19080, 255, 334050, 34, 16, 4, 4
Bought special, 398, 19080, 30, 357800, 35, 16, 4, 5
Dupe staple, 406, 19080, 315, 365400, 36, 16, 4, 5
Bought special, 430, 19080, 120, 388200, 37, 16, 4, 6
Bought special, 457, 19080, 85, 413850, 38, 16, 4, 7
Dupe common, 483, 19080, 830, 438550, 39, 16, 4, 7
Dupe staple, 484, 19080, 325, 439500, 40, 16, 4, 7
Dupe staple, 490, 19080, 270, 445200, 40, 16, 4, 7
Bought common, 515, 19080, 45, 468950, 41, 16, 5, 7
Dupe staple, 524, 19080, 275, 477500, 41, 16, 5, 7
Dupe staple, 530, 19080, 370, 483200, 42, 16, 5, 7
Bought staple, 537, 19080, 35, 489850, 42, 17, 5, 7
Dupe staple, 546, 19080, 265, 498400, 42, 17, 5, 7
Dupe staple, 551, 19080, 265, 503150, 43, 17, 5, 7
Bought common, 576, 19080, 40, 526900, 44, 17, 6, 7
Bought common, 602, 19080, 35, 551600, 45, 17, 7, 7
Dupe staple, 610, 19080, 320, 559200, 46, 17, 7, 7
Bought common, 635, 19080, 95, 582950, 47, 17, 8, 7
Bought staple, 644, 19080, 75, 591500, 47, 18, 8, 7
Dupe staple, 653, 19080, 455, 600050, 48, 18, 8, 7
Bought common, 676, 19080, 40, 621900, 49, 18, 9, 7
